State,Unemployment_Percentage_in_2022
Andhra Pradesh,7.7
Assam,4.7
Bihar,19.1
Chhattisgarh,3.4
Delhi,20.8
Goa,9.9
Gujarat,2.3
Haryana,37.4
Himachal Pradesh,7.6
Jammu & Kashmir,14.8
Jharkhand,18
Karnataka,2.5
Kerala,7.4
Madhya Pradesh,3.2
Maharashtra,3.1
Meghalaya,2.7
Odisha,0.9
Puducherry,4.7
Punjab,6.8
Rajasthan,28.5
Sikkim,13.6
Tamil Nadu,4.1
Telangana,4.1
Tripura,14.3
Uttar Pradesh,4.3
Uttarakhand,4.2
West Bengal,5.5
